iid,id,gender,idg,condtn,wave,round,position,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,race,imprace,imprelig,goal,date,go_out,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es
12,2,1,4,1,1,10,4,10,5,5,0,0,1,21,2,20,5,25,25,10,15,0,8,6,6,5,5,5,6,4,1,22,Law,1,2,1,1,1,1,1,7,60,0,0,40,0,0,0,6,7,10,7,6,5,7,4,1,3
12,2,1,4,1,1,10,8,4,6,6,0,0.37,0,23,4,10,25,20,25,5,15,1,6,9,9,6,8,2,7,6,2,22,Law,1,2,1,1,1,1,1,7,60,0,0,40,0,0,0,6,8,10,6,7,6,7,4,2,3
12,2,1,4,1,1,10,5,1,7,7,0,0.21,0,22,4,15,15,25,20,15,10,0,6,6,8,4,9,4,7,3,1,22,Law,1,2,1,1,1,1,1,7,60,0,0,40,0,0,1,7,9,10,6,6,5,8,4,1,3
12,2,1,4,1,1,10,10,6,8,8,1,-0.11,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,8,7,7,9,6,7,8,7,2,22,Law,1,2,1,1,1,1,1,7,60,0,0,40,0,0,1,8,8,10,7,6,5,9,4,2,3
12,2,1,4,1,1,10,1,7,9,9,1,0.03,0,26,6,20,10,20,30,10,10,1,10,10,10,10,10,10,10,5,2,22,Law,1,2,1,1,1,1,1,7,60,0,0,40,0,0,1,8,8,10,7,6,5,8,4,2,3
12,2,1,4,1,1,10,2,8,10,10,0,0.65,1,26,2,15,15,15,40,10,5,0,1,1,1,1,1,,1,1,1,22,Law,1,2,1,1,1,1,1,7,60,0,0,40,0,0,0,1,1,1,1,1,1,1,1,2,3
13,3,1,6,1,1,10,7,10,1,1,1,0.16,1,21,4,15,20,20,15,15,15,1,5,8,9,8,5,7,7,,1,22,Law,1,4,3,5,2,7,1,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,
13,3,1,6,1,1,10,3,6,2,2,0,0.1,0,24,2,45,5,25,20,0,5,0,5,8,9,6,3,4,6,7,2,22,Law,1,4,3,5,2,7,1,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,
13,3,1,6,1,1,10,9,2,3,3,0,0.09,0,25,2,35,10,35,10,10,0,0,7,9,9,7,9,7,8,7,2,22,Law,1,4,3,5,2,7,1,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,
13,3,1,6,1,1,10,6,9,4,4,0,0.05,0,23,2,20,20,20,20,10,10,0,4,7,8,8,6,7,4,1,2,22,Law,1,4,3,5,2,7,1,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,,
13,3,1,6,1,1,10,4,7,5,5,0,-0.17,0,21,2,20,5,25,25,10,15,0,4,6,8,8,6,5,6,5,1,22,Law,1,4,3,5,2,7,1,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,
13,3,1,6,1,1,10,8,1,6,6,0,-0.51,1,23,4,10,25,20,25,5,15,0,4,7,9,4,3,2,6,2,1,22,Law,1,4,3,5,2,7,1,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,
13,3,1,6,1,1,10,5,8,7,7,0,0.52,1,22,4,15,15,25,20,15,10,0,3,6,8,7,8,8,7,8,1,22,Law,1,4,3,5,2,7,1,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,,
13,3,1,6,1,1,10,10,3,8,8,1,0.42,0,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,5,8,8,6,7,7,5,5,2,22,Law,1,4,3,5,2,7,1,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,
13,3,1,6,1,1,10,1,4,9,9,1,0.68,0,26,6,20,10,20,30,10,10,1,5,10,10,6,6,6,8,5,2,22,Law,1,4,3,5,2,7,1,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,
13,3,1,6,1,1,10,2,5,10,10,1,-0.15,0,26,2,15,15,15,40,10,5,1,6,10,10,10,6,,7,6,2,22,Law,1,4,3,5,2,7,1,3,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,
14,4,1,8,1,1,10,7,5,1,1,1,0.61,0,21,4,15,20,20,15,15,15,1,7,6,8,7,6,8,7,6,2,23,Law,1,2,1,1,2,4,1,8,30,5,15,40,5,5,1,7,8,9,8,9,8,7,7,2,
14,4,1,8,1,1,10,3,1,2,2,1,-0.21,1,24,2,45,5,25,20,0,5,1,7,9,7,6,5,7,7,8,2,23,Law,1,2,1,1,2,4,1,8,30,5,15,40,5,5,1,9,9,9,9,9,9,9,7,2,
14,4,1,8,1,1,10,9,7,3,3,0,-0.04,1,25,2,35,10,35,10,10,0,0,9,7,9,7,9,7,8,7,2,23,Law,1,2,1,1,2,4,1,8,30,5,15,40,5,5,1,7,9,8,8,8,8,7,7,2,
14,4,1,8,1,1,10,6,4,4,4,1,-0.18,1,23,2,20,20,20,20,10,10,1,8,10,7,10,7,10,8,10,1,23,Law,1,2,1,1,2,4,1,8,30,5,15,40,5,5,1,7,7,7,9,9,9,8,10,1,
14,4,1,8,1,1,10,4,2,5,5,1,0.08,1,21,2,20,5,25,25,10,15,1,8,5,5,7,7,9,8,2,1,23,Law,1,2,1,1,2,4,1,8,30,5,15,40,5,5,1,6,8,6,8,10,10,7,7,1,
14,4,1,8,1,1,10,8,6,6,6,1,0.12,0,23,4,10,25,20,25,5,15,1,8,6,7,8,2,8,9,4,2,23,Law,1,2,1,1,2,4,1,8,30,5,15,40,5,5,1,6,8,8,7,9,8,7,7,2,
14,4,1,8,1,1,10,5,3,7,7,1,-0.46,0,22,4,15,15,25,20,15,10,1,7,8,8,7,7,6,8,6,1,23,Law,1,2,1,1,2,4,1,8,30,5,15,40,5,5,1,8,8,9,8,9,9,8,7,1,
14,4,1,8,1,1,10,10,8,8,8,1,-0.4,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,8,6,5,6,6,5,5,6,2,23,Law,1,2,1,1,2,4,1,8,30,5,15,40,5,5,1,8,8,8,8,8,7,8,7,2,
14,4,1,8,1,1,10,1,9,9,9,1,-0.26,0,26,6,20,10,20,30,10,10,1,10,9,8,8,7,7,7,5,2,23,Law,1,2,1,1,2,4,1,8,30,5,15,40,5,5,1,7,8,7,8,8,7,7,7,2,
14,4,1,8,1,1,10,2,10,10,10,0,0.17,1,26,2,15,15,15,40,10,5,0,10,10,10,10,10,,10,1,1,23,Law,1,2,1,1,2,4,1,8,30,5,15,40,5,5,1,7,8,7,9,8,8,7,7,1,
15,5,1,10,1,1,10,7,7,1,1,1,0.21,0,21,4,15,20,20,15,15,15,1,5,6,7,7,6,6,6,6,2,24,Law,1,3,3,1,1,4,1,5,30,10,20,10,10,20,1,8,7,9,6,9,7,8,6,2,
15,5,1,10,1,1,10,3,3,2,2,0,0.32,0,24,2,45,5,25,20,0,5,0,6,8,7,9,7,8,8,6,1,24,Law,1,3,3,1,1,4,1,5,30,10,20,10,10,20,1,10,10,10,10,7,8,10,1,1,
15,5,1,10,1,1,10,9,9,3,3,0,-0.14,0,25,2,35,10,35,10,10,0,0,9,10,10,10,10,10,9,,2,24,Law,1,3,3,1,1,4,1,5,30,10,20,10,10,20,1,6,10,8,6,,,6,1,2,
15,5,1,10,1,1,10,6,6,4,4,0,0.21,0,23,2,20,20,20,20,10,10,0,6,9,8,9,8,9,7,7,2,24,Law,1,3,3,1,1,4,1,5,30,10,20,10,10,20,1,8,8,9,8,8,9,9,7,2,
15,5,1,10,1,1,10,4,4,5,5,0,-0.16,0,21,2,20,5,25,25,10,15,0,6,7,7,5,4,8,7,4,2,24,Law,1,3,3,1,1,4,1,5,30,10,20,10,10,20,0,5,9,9,7,9,5,5,7,2,
15,5,1,10,1,1,10,8,8,6,6,0,0.35,0,23,4,10,25,20,25,5,15,0,5,4,8,8,4,2,4,3,1,24,Law,1,3,3,1,1,4,1,5,30,10,20,10,10,20,1,9,7,9,7,9,6,9,2,1,
15,5,1,10,1,1,10,5,5,7,7,0,-0.27,0,22,4,15,15,25,20,15,10,0,4,7,7,4,8,5,5,6,1,24,Law,1,3,3,1,1,4,1,5,30,10,20,10,10,20,1,8,7,9,6,9,5,8,4,2,
15,5,1,10,1,1,10,10,10,8,8,1,-0.23,0,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,6,8,8,5,6,7,6,5,2,24,Law,1,3,3,1,1,4,1,5,30,10,20,10,10,20,1,9,9,8,9,,7,9,7,2,
15,5,1,10,1,1,10,1,1,9,9,1,-0.01,0,26,6,20,10,20,30,10,10,1,5,10,8,8,5,5,5,5,2,24,Law,1,3,3,1,1,4,1,5,30,10,20,10,10,20,1,7,9,8,9,7,7,7,8,2,
15,5,1,10,1,1,10,2,2,10,10,0,0.24,0,26,2,15,15,15,40,10,5,0,5,7,7,7,7,,6,1,2,24,Law,1,3,3,1,1,4,1,5,30,10,20,10,10,20,1,6,9,9,7,8,,6,6,2,
16,6,1,12,1,1,10,7,6,1,1,0,0.25,0,21,4,15,20,20,15,15,15,0,4,9,7,4,6,4,6,5,2,25,Business,8,2,9,2,1,5,1,7,50,0,30,10,0,10,1,7,7,8,8,7,7,7,6,2,3
16,6,1,12,1,1,10,3,2,2,2,0,0.73,1,24,2,45,5,25,20,0,5,0,8,7,8,3,6,2,6,5,2,25,Business,8,2,9,2,1,5,1,7,50,0,30,10,0,10,1,7,8,7,5,7,7,7,5,2,3
16,6,1,12,1,1,10,9,8,3,3,0,-0.3,1,25,2,35,10,35,10,10,0,0,8,10,10,7,9,9,8,,2,25,Business,8,2,9,2,1,5,1,7,50,0,30,10,0,10,1,7,6,6,6,6,6,6,7,2,3
16,6,1,12,1,1,10,6,5,4,4,0,0.37,1,23,2,20,20,20,20,10,10,0,5,10,8,4,8,2,4,3,2,25,Business,8,2,9,2,1,5,1,7,50,0,30,10,0,10,1,6,6,7,7,8,7,6,6,2,3
16,6,1,12,1,1,10,4,3,5,5,0,0.06,1,21,2,20,5,25,25,10,15,1,5,6,7,5,7,8,7,3,2,25,Business,8,2,9,2,1,5,1,7,50,0,30,10,0,10,0,5,8,7,7,7,7,6,7,2,3
16,6,1,12,1,1,10,8,7,6,6,0,0.19,0,23,4,10,25,20,25,5,15,0,3,7,6,1,1,1,2,2,2,25,Business,8,2,9,2,1,5,1,7,50,0,30,10,0,10,1,6,6,8,8,8,7,6,6,2,3
16,6,1,12,1,1,10,5,4,7,7,0,0.59,0,22,4,15,15,25,20,15,10,0,4,8,7,4,5,4,5,5,2,25,Business,8,2,9,2,1,5,1,7,50,0,30,10,0,10,1,8,8,8,6,6,6,7,7,2,3
16,6,1,12,1,1,10,10,9,8,8,1,0.28,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,6,8,8,5,6,7,6,5,2,25,Business,8,2,9,2,1,5,1,7,50,0,30,10,0,10,1,8,7,7,7,8,7,7,6,2,3
16,6,1,12,1,1,10,1,10,9,9,1,0.42,0,26,6,20,10,20,30,10,10,1,8,9,9,7,6,5,6,5,2,25,Business,8,2,9,2,1,5,1,7,50,0,30,10,0,10,1,6,6,7,8,7,7,6,5,2,3
16,6,1,12,1,1,10,2,1,10,10,0,0.15,1,26,2,15,15,15,40,10,5,0,5,10,6,4,6,,6,1,2,25,Business,8,2,9,2,1,5,1,7,50,0,30,10,0,10,0,,8,7,7,7,7,6,6,2,3
17,7,1,14,1,1,10,7,1,1,1,0,0.34,0,21,4,15,20,20,15,15,15,1,7,6,7,4,6,7,6,5,2,30,political science,13,2,1,1,3,3,2,4,35,15,25,10,5,10,0,3,6,7,5,8,7,2,1,2,1
17,7,1,14,1,1,10,3,7,2,2,0,0.6,1,24,2,45,5,25,20,0,5,1,7,5,9,6,7,9,8,7,2,30,political science,13,2,1,1,3,3,2,4,35,15,25,10,5,10,0,5,3,4,3,5,3,4,3,2,1
17,7,1,14,1,1,10,9,3,3,3,0,-0.26,1,25,2,35,10,35,10,10,0,0,8,9,10,7,7,9,8,7,2,30,political science,13,2,1,1,3,3,2,4,35,15,25,10,5,10,0,6,3,5,4,5,4,2,2,2,1
17,7,1,14,1,1,10,6,10,4,4,0,0.35,1,23,2,20,20,20,20,10,10,0,7,10,10,7,10,5,5,1,2,30,political science,13,2,1,1,3,3,2,4,35,15,25,10,5,10,1,7,6,3,5,6,5,6,4,2,1
17,7,1,14,1,1,10,4,8,5,5,0,-0.05,1,21,2,20,5,25,25,10,15,1,6,6,8,5,5,6,6,3,2,30,political science,13,2,1,1,3,3,2,4,35,15,25,10,5,10,0,2,3,4,4,5,3,3,3,2,1
17,7,1,14,1,1,10,8,2,6,6,0,0.47,0,23,4,10,25,20,25,5,15,1,8,8,8,8,3,4,8,7,2,30,political science,13,2,1,1,3,3,2,4,35,15,25,10,5,10,0,5,6,8,4,5,4,3,3,2,1
17,7,1,14,1,1,10,5,9,7,7,0,0.31,0,22,4,15,15,25,20,15,10,1,7,7,8,7,7,7,8,7,2,30,political science,13,2,1,1,3,3,2,4,35,15,25,10,5,10,0,7,6,5,4,4,3,5,4,2,1
17,7,1,14,1,1,10,10,4,8,8,0,0.05,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,6,7,8,5,7,7,6,6,2,30,political science,13,2,1,1,3,3,2,4,35,15,25,10,5,10,0,6,4,7,5,6,4,4,4,2,1
17,7,1,14,1,1,10,1,5,9,9,1,0.21,0,26,6,20,10,20,30,10,10,1,6,8,9,6,6,6,7,5,2,30,political science,13,2,1,1,3,3,2,4,35,15,25,10,5,10,1,8,6,7,8,6,5,8,4,2,1
17,7,1,14,1,1,10,2,6,10,10,0,0.41,1,26,2,15,15,15,40,10,5,1,5,10,8,6,9,,7,1,2,30,political science,13,2,1,1,3,3,2,4,35,15,25,10,5,10,0,7,7,4,3,4,4,3,6,2,1
18,8,1,16,1,1,10,7,2,1,1,0,0.5,0,21,4,15,20,20,15,15,15,0,4,9,7,6,5,6,6,7,,27,Business,8,2,8,8,1,6,1,5,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,5,6,8,6,7,5,2,2
18,8,1,16,1,1,10,3,8,2,2,0,0.07,1,24,2,45,5,25,20,0,5,0,5,8,7,5,9,5,5,6,2,27,Business,8,2,8,8,1,6,1,5,33.33,11.11,11.11,11.11,11.11,22.22,1,7,7,7,7,7,5,7,6,2,2
18,8,1,16,1,1,10,9,4,3,3,0,0.29,1,25,2,35,10,35,10,10,0,0,7,9,9,8,9,7,8,7,2,27,Business,8,2,8,8,1,6,1,5,33.33,11.11,11.11,11.11,11.11,22.22,0,4,5,6,4,6,4,5,1,2,2
18,8,1,16,1,1,10,6,1,4,4,0,0.15,1,23,2,20,20,20,20,10,10,0,5,9,9,5,9,7,6,6,2,27,Business,8,2,8,8,1,6,1,5,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,6,6,5,7,7,2,2
18,8,1,16,1,1,10,4,9,5,5,0,0.07,1,21,2,20,5,25,25,10,15,1,5,5,7,6,7,5,6,4,2,27,Business,8,2,8,8,1,6,1,5,33.33,11.11,11.11,11.11,11.11,22.22,0,5,5,6,5,5,5,6,5,2,2
18,8,1,16,1,1,10,8,3,6,6,0,0.03,0,23,4,10,25,20,25,5,15,0,4,8,9,2,8,3,5,5,2,27,Business,8,2,8,8,1,6,1,5,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,8,7,8,5,7,6,2,2
18,8,1,16,1,1,10,5,10,7,7,0,0.08,0,22,4,15,15,25,20,15,10,0,5,7,8,5,9,5,5,7,2,27,Business,8,2,8,8,1,6,1,5,33.33,11.11,11.11,11.11,11.11,22.22,1,8,7,6,7,7,5,7,5,2,2
18,8,1,16,1,1,10,10,5,8,8,1,0.17,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,5,6,7,4,5,6,5,4,2,27,Business,8,2,8,8,1,6,1,5,33.33,11.11,11.11,11.11,11.11,22.22,1,9,8,8,8,7,5,7,5,2,2
18,8,1,16,1,1,10,1,6,9,9,0,0.1,0,26,6,20,10,20,30,10,10,1,6,7,8,7,9,6,7,5,2,27,Business,8,2,8,8,1,6,1,5,33.33,11.11,11.11,11.11,11.11,22.22,0,7,7,7,7,6,5,7,5,2,2
18,8,1,16,1,1,10,2,7,10,10,0,0.07,1,26,2,15,15,15,40,10,5,0,5,6,6,4,5,,5,5,2,27,Business,8,2,8,8,1,6,1,5,33.33,11.11,11.11,11.11,11.11,22.22,0,6,6,6,6,6,5,7,6,2,2
19,9,1,18,1,1,10,7,8,1,1,1,0.28,0,21,4,15,20,20,15,15,15,1,7,6,8,9,8,8,7,7,2,28,money,8,2,1,1,4,1,1,10,50,0,25,10,0,15,1,7,7,8,8,8,9,6.5,8,2,
19,9,1,18,1,1,10,3,4,2,2,1,0.11,1,24,2,45,5,25,20,0,5,1,7,6,8,9,4,5,5,6,2,28,money,8,2,1,1,4,1,1,10,50,0,25,10,0,15,1,8,6,9,9,8,7,8,8,2,
19,9,1,18,1,1,10,9,10,3,3,0,-0.15,1,25,2,35,10,35,10,10,0,0,9,9,9,9,9,9,9,7,2,28,money,8,2,1,1,4,1,1,10,50,0,25,10,0,15,1,7,7,6,8,7,7,7,7,2,
19,9,1,18,1,1,10,6,7,4,4,1,-0.47,1,23,2,20,20,20,20,10,10,1,9,8,10,10,7,8,8,8,2,28,money,8,2,1,1,4,1,1,10,50,0,25,10,0,15,1,7,7,7,10,9,10,8,8,2,
19,9,1,18,1,1,10,4,5,5,5,1,-0.13,1,21,2,20,5,25,25,10,15,1,7,5,7,8,7,9,9,4,2,28,money,8,2,1,1,4,1,1,10,50,0,25,10,0,15,1,5,9,9,9,9,6,7,7,2,
19,9,1,18,1,1,10,8,9,6,6,1,0.46,0,23,4,10,25,20,25,5,15,1,7,6,8,8,6,9,9,6,2,28,money,8,2,1,1,4,1,1,10,50,0,25,10,0,15,1,6,7,7,6,6,6,6,6,2,
19,9,1,18,1,1,10,5,6,7,7,1,-0.34,0,22,4,15,15,25,20,15,10,1,6,6,8,8,8,6,6,6,2,28,money,8,2,1,1,4,1,1,10,50,0,25,10,0,15,1,9,7,9,9,9,10,9,9,2,
19,9,1,18,1,1,10,10,1,8,8,1,-0.47,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,8,8,5,9,8,9,7,10,2,28,money,8,2,1,1,4,1,1,10,50,0,25,10,0,15,1,8,7,8,10,8,10,8,8,2,
19,9,1,18,1,1,10,1,2,9,9,1,-0.35,0,26,6,20,10,20,30,10,10,1,8,5,5,6,5,5,7,6,2,28,money,8,2,1,1,4,1,1,10,50,0,25,10,0,15,1,6,6,6,7,6,6,6,6,2,
19,9,1,18,1,1,10,2,3,10,10,1,0.49,1,26,2,15,15,15,40,10,5,1,9,9,9,9,9,9,9,9,2,28,money,8,2,1,1,4,1,1,10,50,0,25,10,0,15,1,7,7,7,7,6,6,7,8,2,
20,10,1,20,1,1,10,7,9,1,1,0,-0.36,0,21,4,15,20,20,15,15,15,1,5,6,6,8,10,8,6,6,2,24,Finance,8,2,1,1,1,1,1,6,100,0,0,0,0,0,0,6,6,6,6,6,6,6,6,2,1
20,10,1,20,1,1,10,3,5,2,2,0,0.39,1,24,2,45,5,25,20,0,5,1,6,7,8,7,9,8,8,7,2,24,Finance,8,2,1,1,1,1,1,6,100,0,0,0,0,0,0,6,5,7,7,9,7,6,9,2,1
20,10,1,20,1,1,10,9,1,3,3,0,-0.47,1,25,2,35,10,35,10,10,0,0,8,7,9,7,9,7,8,7,2,24,Finance,8,2,1,1,1,1,1,6,100,0,0,0,0,0,0,5,6,8,5,8,6,5,5,2,1
20,10,1,20,1,1,10,6,8,4,4,0,-0.19,1,23,2,20,20,20,20,10,10,1,8,9,10,10,8,8,10,8,2,24,Finance,8,2,1,1,1,1,1,6,100,0,0,0,0,0,0,7,8,8,7,8,7,7,7,2,1
20,10,1,20,1,1,10,4,6,5,5,0,-0.06,1,21,2,20,5,25,25,10,15,1,9,6,7,9,6,5,10,3,2,24,Finance,8,2,1,1,1,1,1,6,100,0,0,0,0,0,0,3,10,7,7,10,5,4,10,2,1
20,10,1,20,1,1,10,8,10,6,6,0,0.43,0,23,4,10,25,20,25,5,15,1,8,9,9,9,10,7,9,8,2,24,Finance,8,2,1,1,1,1,1,6,100,0,0,0,0,0,0,7,10,10,6,10,7,6,7,2,1
20,10,1,20,1,1,10,5,7,7,7,0,-0.16,0,22,4,15,15,25,20,15,10,1,8,6,7,7,8,6,7,5,2,24,Finance,8,2,1,1,1,1,1,6,100,0,0,0,0,0,0,7,6,8,6,8,7,7,7,2,1
20,10,1,20,1,1,10,10,2,8,8,1,-0.21,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,7,6,8,7,9,8,8,7,2,24,Finance,8,2,1,1,1,1,1,6,100,0,0,0,0,0,1,8,10,9,9,8,8,8,8,2,1
20,10,1,20,1,1,10,1,3,9,9,0,-0.23,0,26,6,20,10,20,30,10,10,1,7,8,7,8,7,8,8,5,2,24,Finance,8,2,1,1,1,1,1,6,100,0,0,0,0,0,0,5,6,6,6,6,6,6,6,2,1
20,10,1,20,1,1,10,2,4,10,10,0,0.08,1,26,2,15,15,15,40,10,5,1,9,9,8,10,8,8,9,10,2,24,Finance,8,2,1,1,1,1,1,6,100,0,0,0,0,0,0,6,6,6,6,6,6,7,7,2,1
40,1,1,2,2,2,19,5,8,1,21,0,-0.23,1,21,4,12,18,20,16,16,18,0,6,8,7,9,5,7,9,1,1,25,Operations Research,,4,9,6,2,7,7,3,25,20,25,20,10,0,0,3,10,10,6,4,7,4,1,2,0
40,1,1,2,2,2,19,7,10,2,22,0,0.29,0,27,1,20,20,20,10,10,20,0,5,7,7,6,7,5,6,4,2,25,Operations Research,,4,9,6,2,7,7,3,25,20,25,20,10,0,0,4,10,8,8,6,4,3,1,2,0
40,1,1,2,2,2,19,3,6,3,23,0,0.22,1,21,4,10,20,40,10,10,10,1,5,7,6,6,6,7,8,6,2,25,Operations Research,,4,9,6,2,7,7,3,25,20,25,20,10,0,0,5,4,3,7,4,3,1,1,2,0
40,1,1,2,2,2,19,10,13,4,24,0,-0.31,0,27,2,10,20,20,15,20,15,0,5,6,7,7,7,,6,3,2,25,Operations Research,,4,9,6,2,7,7,3,25,20,25,20,10,0,0,5,10,9,9,8,5,2,3,2,0
40,1,1,2,2,2,19,12,15,5,25,0,-0.12,0,25,2,20,20,15,15,15,15,0,7,8,9,6,8,5,6,4,2,25,Operations Research,,4,9,6,2,7,7,3,25,20,25,20,10,0,0,8,10,9,9,8,4,3,1,2,0
40,1,1,2,2,2,19,13,16,6,26,0,-0.38,0,23,2,20,20,20,15,15,10,0,2,5,5,3,5,2,2,2,2,25,Operations Research,,4,9,6,2,7,7,3,25,20,25,20,10,0,0,8,9,9,8,7,4,3,1,2,0
40,1,1,2,2,2,19,4,7,7,27,0,-0.13,0,22,3,17,10,18,20,25,10,0,2,6,6,6,6,,3,3,2,25,Operations Research,,4,9,6,2,7,7,3,25,20,25,20,10,0,0,9,8,6,8,7,5,5,2,2,0
40,1,1,2,2,2,19,1,4,8,28,0,,0,26,2,,,,,,,0,3,6,6,6,5,2,2,4,2,25,Operations Research,,4,9,6,2,7,7,3,25,20,25,20,10,0,0,8,8,7,8,7,3,6,2,2,0
40,1,1,2,2,2,19,9,12,9,29,0,0.11,0,22,2,20,22,18,15,15,10,0,4,9,4,4,5,,5,4,2,25,Operations Research,,4,9,6,2,7,7,3,25,20,25,20,10,0,0,5,6,3,4,3,3,1,,2,0
